collection_no	source_database	collection.authorizer	occurrence.genus_reso	occurrence.genus_name	occurrence.species_reso	occurrence.species_name	original.genus_reso	original.genus_name	original.species_reso	original.species_name	type_specimen	collection.reference_no	country	state	period	epoch	stage	ma_max	ma_min	formation
45098	PaleoDB	"M. Carrano"		Tyrannosaurus		rex					"NMC 9380 =AMNH 973"	11749	"United States"	"North Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	69.4	66.7	"Hell Creek"
45099	PaleoDB	"M. Carrano"		Tyrannosaurus		rex					"NMC 9380 =AMNH 973"	11749	"United States"	"North Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	66.9	66.7	"Hell Creek"
45102	ETE	"M. Carrano"		Tyrannosaurus		rex					"NMC 9380 =AMNH 973"	11749	"United States"	"North Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
45109	ETE	"M. Carrano"		Tyrannosaurus		rex					"NMC 9380 =AMNH 973"	11749	"United States"	"North Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	66.5	66.3	"Hell Creek"
45111	ETE	"M. Carrano"		Tyrannosaurus		rex					"NMC 9380 =AMNH 973"	11749	"United States"	"North Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	66.9	66.3	"Hell Creek"
45112	ETE	"M. Carrano"		Tyrannosaurus		rex					"NMC 9380 =AMNH 973"	11749	"United States"	"North Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	69.4	66.3	"Hell Creek"
45114	ETE	"M. Carrano"		Tyrannosaurus		rex					"NMC 9380 =AMNH 973"	11749	"United States"	"North Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	66.9	66.3	"Hell Creek"
45118	ETE	"M. Carrano"		Tyrannosaurus		rex					"NMC 9380 =AMNH 973"	11749	"United States"	"North Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	66.9	66.3	"Hell Creek"
45126	ETE	"M. Carrano"		Tyrannosaurus		rex					"NMC 9380 =AMNH 973"	11749	"United States"	"North Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
45128	ETE	"M. Carrano"		Tyrannosaurus		rex					"NMC 9380 =AMNH 973"	11749	"United States"	"North Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
45136	ETE	"M. Carrano"		Tyrannosaurus		rex					"NMC 9380 =AMNH 973"	11749	"United States"	"North Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
45138	ETE	"M. Carrano"		Tyrannosaurus		rex					"NMC 9380 =AMNH 973"	11749	"United States"	"North Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
45141	ETE	"M. Carrano"		Tyrannosaurus		rex					"NMC 9380 =AMNH 973"	11749	"United States"	"North Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
45144	ETE	"M. Carrano"		Tyrannosaurus		rex					"NMC 9380 =AMNH 973"	11749	"United States"	"North Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	66.9	66.7	"Hell Creek"
45145	ETE	"M. Carrano"		Tyrannosaurus		rex					"NMC 9380 =AMNH 973"	11749	"United States"	"North Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	66.9	66.7	"Hell Creek"
45146	ETE	"M. Carrano"		Tyrannosaurus		rex					"NMC 9380 =AMNH 973"	11749	"United States"	"North Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	66.9	66.7	"Hell Creek"
45299	ETE	"M. Carrano"		Tyrannosaurus		rex					"NMC 9380 =AMNH 973"	11749	"United States"	"North Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	66.9	66.3	"Hell Creek"
45312	ETE	"M. Carrano"		Tyrannosaurus		rex					"NMC 9380 =AMNH 973"	11749	"United States"	"North Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	69.4	66.3	"Hell Creek"
45381	ETE	"M. Carrano"		Tyrannosaurus		rex					"NMC 9380 =AMNH 973"	11749	"United States"	"North Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	66.9	66.7	"Hell Creek"
45388	ETE	"M. Carrano"		Tyrannosaurus		rex					"NMC 9380 =AMNH 973"	11749	"United States"	"South Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	69.4	66.7	"Hell Creek"
45389	ETE	"M. Carrano"		Tyrannosaurus		rex					"NMC 9380 =AMNH 973"	11749	"United States"	"South Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	69.4	66.7	"Hell Creek"
45390	ETE	"M. Carrano"		Tyrannosaurus		rex					"NMC 9380 =AMNH 973"	11749	"United States"	"South Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	69.4	66.7	"Hell Creek"
45679	ETE	"M. Carrano"		Albertosaurus		sp.						17004	"United States"	Missouri	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Ripley
45878	ETE	"M. Carrano"	"n. gen."	Tyrannosaurus	"n. sp."	rex	"n. gen."	Dynamosaurus	"n. sp."	imperiosus	"AMNH 5866"	9259	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
46163	PaleoDB	"M. Carrano"	cf.	Albertosaurus		sp.						12323	Mexico	Sonora	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Corral de Enmedio"
47034	ETE	"M. Carrano"		Tyrannosaurus		rex					"NMC 9380 =AMNH 973"	23425	"United States"	"South Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
47195	ETE	"J. Head"		Daspletosaurus		sp.						12620	"United States"	"New Mexico"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Kirtland
48193	PaleoDB	"K. Johnson"		Tyrannosaurus		rex					"NMC 9380 =AMNH 973"	7941	"United States"	"South Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
48847	ETE	"M. Carrano"		Tyrannosaurus		rex					"NMC 9380 =AMNH 973"	54064	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
48848	ETE	"M. Carrano"		Tyrannosaurus		rex					"NMC 9380 =AMNH 973"	54064	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.2	69.6	"Hell Creek"
49005	ETE	"M. Carrano"	"n. gen."	Tyrannosaurus	"n. sp."	rex					"NMC 9380 =AMNH 973"	9259	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
49523	ETE	"M. Carrano"	?	Tyrannosaurus		sp.						55544	"United States"	Colorado	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Denver
49523	ETE	"M. Carrano"		Tyrannosaurus		rex		Theropoda		indet.	"NMC 9380 =AMNH 973"	55544	"United States"	Colorado	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Denver
49535	ETE	"M. Carrano"		Tyrannosaurus	cf.	rex					"NMC 9380 =AMNH 973"	13266	"United States"	Colorado	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Denver
49538	ETE	"M. Carrano"		Tyrannosaurus		rex					"NMC 9380 =AMNH 973"	51520	"United States"	Colorado	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Denver
49539	ETE	"M. Carrano"		Tyrannosaurus	cf.	rex					"NMC 9380 =AMNH 973"	13266	"United States"	Colorado	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Denver
49547	ETE	"M. Carrano"		Tyrannosaurus	cf.	rex					"NMC 9380 =AMNH 973"	13266	"United States"	Colorado	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Denver
49800	ETE	"M. Carrano"		Tarbosaurus	"n. sp."	bataar		Tyrannosaurus	"n. sp."	luanchuanensis	"NIGP V.4733"	9256	China	Henan	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Qiupa
51889	ETE	"M. Carrano"	"n. gen."	Nanuqsaurus	"n. sp."	hoglundi		Tyrannosauridae		indet.	"DMNH 21461"	13817	"United States"	Alaska	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	68	71	"Prince Creek"
51972	ETE	"M. Carrano"	"n. gen."	Tarbosaurus	"n. sp."	bataar	"n. gen."	Tarbosaurus	"n. sp."	efremovi	"PIN 551-3"	34612	Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	Nemegt
51972	ETE	"M. Carrano"		Tarbosaurus	"n. sp."	bataar		Tyrannosaurus	"n. sp."	bataar	"PIN 551-1"	34612	Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	Nemegt
52481	ETE	"M. Carrano"		Gorgosaurus		libratus		Albertosaurus		libratus	"NMC 2120"	4205	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Oldman
52481	ETE	"M. Carrano"		Daspletosaurus		torosus					"NMC 8506"	4205	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Oldman
52482	ETE	"M. Carrano"		Daspletosaurus		torosus					"NMC 8506"	4205	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Oldman
52484	ETE	"M. Carrano"		Gorgosaurus		libratus		Albertosaurus		libratus	"NMC 2120"	4205	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Oldman
52485	ETE	"M. Carrano"		Albertosaurus		sarcophagus		Albertosaurus		libratus	"NMC 5600"	12314	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Oldman
52871	ETE	"M. Carrano"		Tyrannosaurus		rex					"NMC 9380 =AMNH 973"	9095	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
52873	ETE	"M. Carrano"		Ornithomimus	"n. sp."	grandis						12250	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Eagle Sandstone"
53155	ETE	"M. Carrano"	"n. gen."	Tyrannosauripus	"n. sp."	pillmorei					"CU-MWC 225.1"	29230	"United States"	"New Mexico"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Raton
54002	ETE	"M. Carrano"		Nanotyrannus	"n. sp."	lancensis		Gorgosaurus	"n. sp."	lancensis	"CMNH 7541"	14592	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
54105	ETE	"M. Carrano"		Tyrannosaurus		rex					"NMC 9380 =AMNH 973"	14627	Canada	Saskatchewan	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Frenchman
54139	ETE	"M. Carrano"		Albertosaurus		sp.						14626	"United States"	Alabama	Cretaceous	"Late/Upper Cretaceous"		85.800	70.600	Blufftown
55257	ETE	"M. Carrano"		Tarbosaurus		sp.						14738	Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Nemegt
55258	ETE	"M. Carrano"		Tarbosaurus		sp.						42291	Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Nemegt
55287	ETE	"M. Carrano"		Tyrannosaurus		rex					"NMC 9380 =AMNH 973"	6835	"United States"	"New Mexico"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	McRae
55353	ETE	"M. Carrano"		Tyrannosaurus		sp.						14848	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
55363	ETE	"M. Carrano"		Albertosaurus		sarcophagus					"NMC 5600"	63399	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Horseshoe Canyon"
56614	ETE	"M. Carrano"	?	Albertosaurus		sp.						15240	"United States"	Colorado	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	
57166	ETE	"M. Carrano"	cf.	Tyrannosaurus		rex					"NMC 9380 =AMNH 973"	803	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
57178	ETE	"M. Carrano"		Tyrannosaurus	"n. sp."	zhuchengensis	cf.	Tyrannosaurus		sp.	"GMC V286, V288, V1174, V1773, V1777"	15491	China	Shandong	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Xingezhuang
58156	ETE	"M. Carrano"		Gorgosaurus	"n. sp."	libratus		Laelaps	"n. sp."	falculus	"AMNH 3959"	17576	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Judith River"
58913	ETE	"M. Carrano"		Gorgosaurus		libratus		Gorgosaurus		sp.	"CMN 2120"	33225	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
58944	ETE	"M. Carrano"		Gorgosaurus		libratus		Gorgosaurus		sp.		33225	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
59024	ETE	"M. Carrano"		Gorgosaurus		libratus		Gorgosaurus		sp.		33225	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
60172	ETE	"M. Carrano"		Tyrannosaurus		sp.						17313	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
60766	ETE	"M. Carrano"		Tyrannosaurus		rex		Albertosaurus	cf.	lancensis	"CMNH 7541"	64603	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
60766	ETE	"M. Carrano"		Tyrannosaurus		rex					"NMC 9380 =AMNH 973"	64603	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
61888	ETE	"M. Carrano"		Tyrannosaurus		rex					"NMC 9380 =AMNH 973"	17876	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
62533	ETE	"M. Carrano"		Tyrannosaurus		sp.						46330	"United States"	"New Mexico"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Fruitland/Kirtland
64144	ETE	"M. Carrano"		Tyrannosaurus	"n. sp."	turpanensis		Tarbosaurus		sp.		9258	China	Xinjiang	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	Subashi
